DASYLab - V 9.00.02
Worksheet name: LeakageCurrentTesterV4DevSML40sAna200V
Recording Date     : 18-03-2014, 09:06:48
Block Length       : 1
Delta              : 0.2 sec.
Number of Channels : 1
Measurement time[s]	Write 0 [nA]	
0.0	0.000	
0.2	0.000	
0.4	0.000	
0.6	19.600	
0.8	19.100	
1.0	18.600	
1.2	18.600	
1.4	18.000	
1.6	18.000	
1.8	17.500	
2.0	17.500	
2.2	17.500	
2.4	17.500	
2.6	2539.000	
2.8	2539.000	
3.0	2642.600	
3.2	2642.600	
3.4	2667.300	
3.6	2667.300	
3.8	848.400	
4.0	599.400	
4.2	463.900	
4.4	385.500	
4.6	323.200	
4.8	283.500	
5.0	251.000	
5.2	233.000	
5.4	213.900	
5.6	200.000	
5.8	178.300	
6.0	171.600	
6.2	168.000	
6.4	146.400	
6.6	139.700	
6.8	137.100	
7.0	133.000	
7.2	126.300	
7.4	120.600	
7.6	-20768.900	
7.8	-25752.000	
8.0	-30773.301	
8.2	-36857.801	
8.4	-44711.801	
8.6	-34468.301	
8.8	-18374.799	
9.0	-9951.801	
9.2	-4398.600	
9.4	-2057.600	
9.6	-1108.200	
9.8	-694.800	
10.0	-487.100	
10.2	2416.800	
10.4	234.000	
10.6	234.000	
10.8	663.900	
11.0	663.900	
11.2	816.400	
11.4	816.400	
11.6	669.000	
11.8	395.300	
12.0	292.200	
12.2	234.000	
12.4	201.000	
12.6	164.400	
12.8	153.600	
13.0	149.500	
13.2	126.800	
13.4	119.100	
13.6	117.500	
13.8	97.900	
14.0	95.400	
14.2	93.800	
14.4	91.200	
14.6	88.700	
14.8	84.500	
15.0	80.900	
15.2	77.300	
15.4	72.200	
15.6	-20237.000	
15.8	-25193.301	
16.0	-30100.701	
16.2	-35730.098	
16.4	-36661.500	
16.6	-26431.900	
16.8	-17641.898	
17.0	-9643.000	
17.2	-5143.400	
17.4	-2740.000	
17.6	-1512.800	
17.8	-904.100	
18.0	-594.300	
18.2	2903.900	
18.4	199.500	
18.6	199.500	
18.8	586.600	
19.0	586.600	
19.2	712.800	
19.4	712.800	
19.6	515.400	
19.8	305.600	
20.0	231.900	
20.2	182.500	
20.4	157.200	
20.6	129.900	
20.8	119.600	
21.0	116.500	
21.2	112.400	
21.4	106.200	
21.6	99.000	
21.8	79.400	
22.0	77.300	
22.2	75.800	
22.4	74.200	
22.6	71.100	
22.8	68.000	
23.0	65.500	
23.2	62.900	
23.4	60.800	
23.6	-20754.000	
23.8	-25590.699	
24.0	-30002.701	
24.2	-35435.797	
24.4	-36270.801	
24.6	-26110.301	
24.8	-16862.600	
25.0	-9391.000	
25.2	-5105.800	
25.4	-2763.200	
25.6	-1529.800	
25.8	-912.300	
26.0	-597.400	
26.2	-163.400	
26.4	3732.700	
26.6	406.700	
26.8	406.700	
27.0	999999872.000	
27.2	999999872.000	
27.4	815.400	
27.6	815.400	
27.8	279.400	
28.0	199.500	
28.2	166.000	
28.4	138.600	
28.6	117.500	
28.8	109.800	
29.0	85.000	
29.2	85.000	
29.4	83.500	
29.6	82.000	
29.8	63.900	
30.0	65.500	
30.2	64.400	
30.4	62.900	
30.6	60.300	
30.8	57.700	
31.0	54.600	
31.2	52.600	
31.4	51.000	
31.6	49.000	
31.8	47.400	
32.0	46.400	
32.2	44.800	
32.4	43.300	
32.6	42.300	
32.8	41.200	
33.0	40.200	
33.2	39.200	
33.4	38.100	
33.6	37.100	
33.8	36.100	
34.0	35.000	
34.2	34.500	
34.4	34.000	
34.6	33.500	
34.8	33.000	
35.0	32.000	
35.2	31.400	
35.4	30.400	
35.6	28.900	
35.8	27.800	
36.0	27.300	
36.2	27.300	
36.4	27.300	
36.6	27.300	
36.8	27.300	
37.0	26.800	
37.2	26.800	
37.4	26.300	
37.6	25.800	
37.8	24.700	
38.0	24.200	
38.2	24.200	
38.4	24.200	
38.6	25.300	
38.8	24.700	
39.0	24.700	
39.2	24.700	
39.4	24.700	
39.6	24.200	
39.8	23.700	
40.0	23.200	
40.2	22.200	
40.4	21.100	
40.6	20.600	
40.8	20.100	
41.0	20.100	
41.2	20.600	
41.4	20.100	
