DASYLab - V 9.00.02
Worksheet name: LeakageCurrentTesterV4DevSML40sAna200V
Recording Date     : 18-03-2014, 09:08:41
Block Length       : 1
Delta              : 0.2 sec.
Number of Channels : 1
Measurement time[s]	Write 0 [nA]	
0.0	0.000	
0.2	0.000	
0.4	19.100	
0.6	19.100	
0.8	19.100	
1.0	19.100	
1.2	19.100	
1.4	18.600	
1.6	18.600	
1.8	18.000	
2.0	17.000	
2.2	17.000	
2.4	7955.000	
2.6	7955.000	
2.8	7873.100	
3.0	7873.100	
3.2	6710.800	
3.4	6710.800	
3.6	1446.300	
3.8	856.600	
4.0	607.200	
4.2	480.400	
4.4	395.800	
4.6	338.100	
4.8	296.900	
5.0	272.100	
5.2	246.400	
5.4	230.400	
5.6	204.600	
5.8	193.300	
6.0	171.100	
6.2	167.500	
6.4	164.900	
6.6	146.400	
6.8	142.800	
7.0	140.700	
7.2	137.600	
7.4	133.000	
7.6	-2473.500	
7.8	-10088.399	
8.0	-16529.600	
8.2	-26095.801	
8.4	-38086.102	
8.6	-40172.000	
8.8	-20915.301	
9.0	-9672.900	
9.2	-4281.600	
9.4	-2033.900	
9.6	-1114.900	
9.8	-706.600	
10.0	-504.100	
10.2	512.800	
10.4	1252.000	
10.6	1252.000	
10.8	1994.700	
11.0	2069.900	
11.2	2069.900	
11.4	2459.600	
11.6	651.000	
11.8	401.000	
12.0	298.900	
12.2	241.700	
12.4	213.400	
12.6	186.100	
12.8	173.700	
13.0	149.000	
13.2	138.600	
13.4	136.100	
13.6	113.900	
13.8	112.400	
14.0	108.800	
14.2	104.600	
14.4	99.500	
14.6	94.300	
14.8	90.700	
15.0	88.100	
15.2	84.000	
15.4	80.400	
15.6	-7044.300	
15.8	-12850.000	
16.0	-19629.900	
16.2	-27515.301	
16.4	-38254.102	
16.6	-30462.500	
16.8	-17703.699	
17.0	-9683.200	
17.2	-5174.300	
17.4	-2765.200	
17.6	-1539.100	
17.8	-928.800	
18.0	-620.100	
18.2	427.300	
18.4	1165.900	
18.6	1165.900	
18.8	1763.800	
19.0	1763.800	
19.2	2283.300	
19.4	2337.400	
19.6	519.000	
19.8	309.300	
20.0	234.000	
20.2	184.500	
20.4	161.800	
20.6	143.800	
20.8	130.900	
21.0	127.300	
21.2	105.100	
21.4	100.500	
21.6	98.400	
21.8	95.400	
22.0	90.200	
22.2	85.600	
22.4	81.400	
22.6	76.800	
22.8	73.200	
23.0	69.600	
23.2	66.500	
23.4	62.900	
23.6	-11436.700	
23.8	-17078.500	
24.0	-23461.000	
24.2	-30435.699	
24.4	-39375.199	
24.6	-29104.900	
24.8	-17451.701	
25.0	-9749.699	
25.2	-5314.000	
25.4	-2886.400	
25.6	-1608.600	
25.8	-971.100	
26.0	-638.600	
26.2	493.800	
26.4	493.800	
26.6	1394.200	
26.8	1394.200	
27.0	1615.300	
27.2	1615.300	
27.4	1676.200	
27.6	434.000	
27.8	264.900	
28.0	192.800	
28.2	164.900	
28.4	137.100	
28.6	121.100	
28.8	96.400	
29.0	94.300	
29.2	89.700	
29.4	86.600	
29.6	82.500	
29.8	75.800	
30.0	71.100	
30.2	66.000	
30.4	61.300	
30.6	58.200	
30.8	56.200	
31.0	54.600	
31.2	52.100	
31.4	50.500	
31.6	49.000	
31.8	47.400	
32.0	46.400	
32.2	44.800	
32.4	42.800	
32.6	40.700	
32.8	39.700	
33.0	39.200	
33.2	38.700	
33.4	38.100	
33.6	36.600	
33.8	35.600	
34.0	34.500	
34.2	33.500	
34.4	33.000	
34.6	33.000	
34.8	32.500	
35.0	33.000	
35.2	33.000	
35.4	32.000	
35.6	32.500	
35.8	32.500	
36.0	32.000	
36.2	32.000	
36.4	30.900	
36.6	30.400	
36.8	30.400	
37.0	30.400	
37.2	29.900	
37.4	28.900	
37.6	28.300	
37.8	27.300	
38.0	26.800	
38.2	26.800	
38.4	25.800	
38.6	25.800	
38.8	25.800	
39.0	24.700	
39.2	24.200	
39.4	24.200	
39.6	23.200	
39.8	23.200	
40.0	23.200	
40.2	22.700	
40.4	22.700	
40.6	22.700	
40.8	22.200	
41.0	22.200	
41.2	23.200	
